No.,Word,Type,Pronounce,Meaning,status,Examples
34,acquire,v,?'kwai?,"dành ???c, ??t ???c, ki?m ???c",,
35,across,"adv, prep",?'kr?s,"qua, ngang qua",,
36,act,"n, v",ækt,"hành ??ng, hành vi, c? ch?, ??i x?",,
37,action,n,æk?n,"hành ??ng, hành vi, tác ??ng. Take action: hành ??ng",,
38,active,adj,æktiv,"tích c?c ho?t ??ng, nhanh nh?n",,
39,actively,adv,æktivli,"tích c?c ho?t ??ng; nhanh nh?n, linh l?i; có hi?u l?c",,
40,activity,n,æk'tiviti,"s? tích c?c, s? ho?t ??ng, s? nhanh  nh?n, s? linh l?i",,
41,actor,n,ækt?,di?n viên nam,,
42,actress,n,æktris,di?n viên n?,,
43,actual,adj,æktju?l,"th?c t?, có th?t",,
44,actually,adv,æktju?li,"hi?n nay, hi?n t?i",,
45,adapt,v,?'dæpt,"tra, l?p vào",,
46,add,v,æd,"c?ng, thêm vào",,
47,addition,n,?'di?n,"tính  c?ng, phép c?ng",,
48,additional,adj,?'di??nl,"thêm vào, t?ng thêm",,
49,address,"n, v",?'dres,"??a ch?, ?? ??a ch?",,
50,adequate,adj,ædikwit,"??y, ??y ??",,
51,adequately,adv,ædikwitli,"t??ng x?ng, th?a ?áng",,
52,adjust,v,?'d??st,"s?a l?i cho ?úng, ?i?u ch?nh",,
53,admiration,n,",ædm?'rei?n","s? khâm ph?c, thán ph?c",,
54,admire,v,?d'mai?,"khâm ph?c, thán ph?c",,
55,admit,v,?d'mit,"nh?n vào, cho vào, k?t h?p",,
56,adopt,v,?'d?pt,"nh?n làm con nuôi, b? m? nuôi",,
57,adult,"n, adj",æd?lt,"ng??i l?n, ng??i tr??ng thành; tr??ng thành",,
58,advance,"n, v",?d'v?:ns,"s? ti?n b?, ti?n lên; ??a lên, ?? xuat",,
59,advanced,adj,?d'v?:nst,"tiên ti?n, ti?n b?, cap cao. in advance tr??c, s?m",,
60,advantage,n,?b'v?:ntid?,"s? thu?n  l?i, l?i ích, l?i th?. take advantage of l?i d?ng",,
61,adventure,n,?d'vent??,"s? phiêu l?u, m?o hi?m",,
62,advertise,v,ædv?taiz,"báo cho bi?t, báo cho bi?t tr??c",,
63,advertisement,n,?d'v?:tism?nt,qu?ng cáo,,
64,advertising,n,,"s? qu?ng cáo, ngh? qu?ng cáo",,
65,advice,n,?d'vais,"l?i khuyên,  l?i ch? b?o",,
66,advise,v,?d'vaiz,"khuyên,  khuyên  b?o, r?n b?o",,
67,affair,n,?'fe?,vi?c,,
68,affect,v,?'fekt,"làm ?nh h??ng, tác ??ng ??n",,
69,affection,n,?'fek?n,"tình  c?m, s? yêu m?n",,
70,afford,v,?'f?:d,"có th?, có ?? kh? n?ng, ?i?u ki?n (làm gì)",,
71,afraid,adj,?'freid,"s?, s? hãi, ho?ng s?",,
72,after,"prep, conj, adv",?:ft?,"sau, ??ng sau, sau khi",,
73,afternoon,n,?:ft?'nu:n,bu?i chi?u,,
74,afterwards,adv,?:ft?w?d,"sau này, v? sau, r?i thì,  sau ?ây",,
75,again,adv,?'gen,"l?i, n?a, l?n n?a",,
76,against,prep,?'geinst,"ch?ng l?i, ph?n ??i",,
77,age,n,eid?,tu?i,,
78,aged,adj,eid?id,già ?i,,
79,agency,n,eid??nsi,"tác d?ng, l?c; môi gi?i, trung  gian",,
80,agent,n,eid??nt,"??i lý, tác nhân",,
81,aggressive,adj,?'gresiv,"xâm l??c, hung  h?ng (US: xông xáo)",,
82,ago,adv,?'gou,tr??c ?ây,,
83,agree,v,?'gri:,"??ng ý, tán thành",,
84,agreement,n,?'gri:m?nt,"s? ??ng ý, tán thành;  hi?p ??nh, h?p ??ng",,
85,ahead,adv,?'hed,"tr??c, v? phía  tr??c",,
86,aid,"n, v",eid,"s? giúp ??; thêm vào, ph? vào",,
87,aim,"n, v",eim,"s? nh?m (b?n), m?c tiêu, ý ??nh; nh?m, t?p trung, h??ng vào",,
88,air,n,e?,"không khí, b?u không  khí, không gian",,
89,aircraft,n,e?kr?:ft,"máy bay, khí c?u",,
90,airport,n,,"sân bay, phi tr??ng",,
91,alarm,"n, v",?'l?:m,"báo ??ng, báo nguy",,
92,alarmed,adj,?'l?:m,báo ??ng,,
93,alarming,adj,?'l?:mi?,"làm lo s?, làm h?t ho?ng, làm s? hãi",,
94,alcohol,n,ælk?h?l,r??u c?n,,
95,alcoholic,"adj, n",",ælk?'h?lik",r??u; ng??i nghi?n r??u,,
96,alive,adj,?'laiv,"s?ng, v?n còn s?ng, còn t?n t?i",,
97,all,"pron, adv",?:l,t?t c?,,
98,all right,"adj, adv, exclamation",?:l'rait,"t?t, ?n, kh?e m?nh; ???c",,
99,allied,adj,?'laid,"liên minh, ??ng minh, thông gia",,
100,allow,v,?'lau,"cho phép, ?? cho",,
101,ally,"n, v",æli,"n??c ??ng minh, liên minh; liên k?t, k?t thông  gia",,
102,almost,adv,?:lmoust,"h?u nh?, g?n nh?",,
103,alone,"adj, adv",?'loun,"cô ??n, m?t mình",,
104,along,"prep, adv",?'l??,"d?c theo, theo; theo chi?u dài, su?t theo",,
105,alongside,"prep, adv",?'l??'said,"sát c?nh, k? bên, d?c theo",,
106,aloud,adv,?'laud,"l?n ti?ng, to ti?ng",,
107,alphabet,n,ælf?bit,"b?ng ch? cái, b??c ??u, ?i?u c? b?n",,
108,alphabetical,adj,",æfl?'betikl",thu?c  b?ng ch? cái,,
109,alphabetically,adv,",ælf?'betik?li",theo th? t? abc,,
110,already,adv,?:l'redi,"?ã, r?i, ?ã… r?i",,
111,also,adv,?:lsou,"c?ng, c?ng v?y, c?ng th?",,
112,alter,v,?:lt?,"thay ??i, bi?n ??i, s?a ??i",,
113,alternative,"n, adj",?:l't?:n?tiv,s? l?a ch?n; l?a ch?n,,
114,alternatively,adv,,nh? m?t s? l?a ch?n,,
115,although,conj,?:l'ðou,"m?c dù, d?u cho",,
116,altogether,adv,",?:lt?'geð?","hoàn toàn, h?u nh?; nói chung",,
117,always,adv,?:lw?z,luôn luôn,,
118,amaze,v,?'meiz,"làm ng?c nhiên, làm s?ng s?t",,
119,amazed,adj,?'meiz,"kinh ng?c, s?ng s?t",,
120,amazing,adj,?'meizi?,"kinh ng?c, s?ng s?t",,
121,ambition,n,æm'bi?n,"hoài bão, khát v?ng",,
122,ambulance,n,æmbjul?ns,"xe c?u th??ng, xe c?p c?u",,
123,"among, amongst",prep,?'m??,"gi?a, ? gi?a",,
124,amount,"n, v",?'maunt,"s? l??ng, s? nhi?u; lên t?i (money)",,
125,amuse,v,?'mju:z,"làm cho vui, thích,  làm bu?n c??i",,
126,amused,adj,?'mju:zd,vui thích,,
127,amusing,adj,?'mju:zi?,vui thích,,
128,"analyse, analyze",v,æn?laiz,phân tích,,
129,analysis,n,?'næl?sis,s? phân tích,,
130,ancient,adj,ein??nt,"x?a, c?",,
131,and,conj,"ænd, ?nd, ?n",và,,
132,anger,n,æ?g?,"s? t?c gi?n, s? gi?n d?",,
133,angle,n,æ?gl,góc,,
134,angrily,adv,æ?grili,"t?c gi?n, gi?n d?",,
135,angry,adj,æ?gri,"gi?n, t?c gi?n",,
136,animal,n,ænim?l,"??ng v?t, thú v?t",,
137,ankle,n,æ?kl,m?t cá chân,,
138,anniversary,n,",æni'v?:s?ri","ngày, l? k? ni?m",,
139,announce,v,?'nauns,"báo, thông báo",,
140,annoy,v,?'n?i,"ch?c t?c, làm b?c mình;  làm phi?n, qu?y nhi?u",,
141,annoyed,adj,?'n?id,"b? khó ch?u, b?c mình,  b? qu?y r?y",,
142,annoying,adj,?'n?ii?,"ch?c t?c, làm b?c mình;  làm phi?n, qu?y nhi?u",,
143,annual,adj,ænju?l,"hàng n?m, t?ng n?m",,
144,annually,adv,ænju?li,"hàng n?m, t?ng n?m",,
145,another,"det, pron",?'n?ð?,khác,,
146,answer,"n, v",?:ns?,s? tr? l?i; tr? l?i,,
147,anti,prefix,,ch?ng l?i,,
148,anticipate,v,æn'tisipeit,"th?y tr??c, ch?n tr??c, l??ng tr??c",,
149,anxiety,n,æ?'zai?ti,"m?i lo âu, s? lo l?ng",,
150,anxious,adj,æ?k??s,"lo âu, lo l?ng, b?n kho?n",,
151,anxiously,adv,æ?k??sli,"lo âu, lo l?ng, b?n kho?n",,
152,any,"detpron, adv",,"m?t ng??i, v?t nào ?ó; b?t c?; m?t chút nào, tí nào",,
153,anyone (anybod),pron,eniw?n,"ng??i nào, b?t c? ai",,
154,anything,pron,eni?i?,"vi?c gì, v?t gì; b?t c? vi?c gì, v?t gì",,
155,anyway,adv,eniwei,"th? nào c?ng ???c, dù s?o ch?ng n?a",,
156,anywhere,adv,eniwe?,"b?t c? ch? nào, b?t c? n?i ?âu",,
157,apart,adv,?'p?:t,"v? m?t bên, qua m?t bên",,
158,apart from,prep,?'p?:t,ngoài… ra,,
159,"apart from, aside from",prep,,ngoài ra,,
160,apartment,n,?'p?:tm?nt,"c?n phòng, c?n bu?ng",,
161,apologize,v,?'p?l?d?aiz,"xin l?i, t? l?i",,
162,apparent,adj,?'pær?nt,"rõ ràng, rành m?ch; b? ngoài, có v?",,
163,apparently,adv,,"nhìn  bên ngoài, hình  nh?",,
164,appeal,"n, v",?'pi:l,"s? kêu g?i, l?i kêu g?i; kêu g?i, c?u kh?n",,
165,appear,v,?'pi?,"xu?t hi?n, hi?n ra, trình  di?n",,
166,appearance,n,?'pi?r?ns,"s? xu?t hi?n, s? trình  di?n",,
167,apple,n,æpl,qu? táo,,
168,application,n,",æpli'kei?n","s? g?n vào, v?t g?n vào; s? chuyên  c?n, chuyên  tâm",,
169,apply,v,?'plai,"g?n vào, ghép vào, áp d?ng vào",,
170,appoint,v,?'p?int,"b? nhi?m, ch? ??nh, ch?n",,
171,appointment,n,?'p?intm?nt,"s? b? nhi?m, ng??i ???c b? nhi?m",,
172,appreciate,v,?'pri:?ieit,th?y rõ; nh?n th?c,,
173,approach,"v, n",?'prout?,"??n g?n, l?i g?n; s? ??n g?n, s? l?i g?n",,
174,"appropriate (to, for)",adj,?'proupriit,"thích  h?p, thích  ?áng",,
175,approval,n,?'pru:v?l,"s? tán thành,  ??ng ý, s? ch?p thu?n",,
176,approve,"of, v",?'pru:v,"tán thành,  ??ng ý, ch?p thu?n",,
177,approving,adj,?'pru:vi?,"tán thành,  ??ng ý, ch?p thu?n",,
178,approximate,"adj, to",?'pr?ksimit,"gi?ng v?i, gi?ng h?t v?i",,
179,approximately,adv,?'pr?ksimitli,"kho?ng ch?ng, ?? ch?ng",,
180,April (abbr Apr),n,eipr?l,tháng  T?,,
181,area,n,e?ri?,"di?n tích, b? m?t",,
182,argue,v,?:gju:,"ch?ng t?, ch? rõ",,
183,argument,n,?:gjum?nt,lý l?,,
184,arise,v,?'raiz,"xu?t hi?n, n?y ra, n?y sinh ra",,
185,arm,"n, v",?:m,"cánh tay; v? trang, trang b? (v? khí)",,
186,armed,adj,?:md,v? trang,,
187,arms,n,,"v? khí,  binh gi?i, binh khí",,
188,army,n,?:mi,quân ??i,,
189,around,"adv, prep",?'raund,"xung  quanh,  vòng quanh",,
190,arrange,v,?'reind?,"s?p x?p, s?p ??t, s?a so?n",,
191,arrangement,n,?'reind?m?nt,"s? s?p x?p, s?p ??t, s? s?a so?n",,
192,arrest,"v, n",?'rest,"b?t gi?, s? b?t gi?",,
193,arrival,n,?'raiv?l,"s? ??n, s? t?i n?i",,
194,"arrive (at, in)",v,?'raiv,"??n, t?i n?i",,
195,arrow,n,ærou,"tên, m?i tên",,
196,art,n,?:t,"ngh? thu?t,  m? thu?t",,
197,article,n,?:tikl,"bài báo, ?? m?c",,
198,artificial,adj,",?:ti'fi??l",nhân t?o,,
199,artificially,adv,",?:ti'fi??li",nhân t?o,,
200,artist,n,?:tist,ngh? s?,,
201,artistic,adj,?:'tistik,"thu?c  ngh? thu?t, thu?c  m? thu?t",,
202,as,"adv, conj, prep","æz, ?z",nh? (as you know…),,
203,as well,,,"c?ng, c?ng nh?",,
204,ashamed,adj,?'?eimd,"ng??ng, x?u h?",,
205,aside,adv,?'said,"v? m?t bên, sang m?t bên. aside from: ngoài ra, tr? ra",,
206,ask,v,?:sk,h?i,,
207,asleep,adj,?'sli:p,"ng?, ?ang ng?. fall asleep ng? thi?p ?i",,
208,aspect,n,æspekt,"v? b? ngoài, di?n m?o",,
209,assist,v,?'sist,"giúp, giúp ??; tham d?, có m?t",,
210,assistance,n,?'sist?ns,s? giúp ??,,
211,assistant,"n, adj",?'sist?nt,"ng??i giúp ??, ng??i ph? tá; giúp ??",,
212,associate,v,?'sou?iit,"k?t giao, liên k?t, k?t h?p, cho c?ng tác. associated with liên k?t
v?i",,
213,association,n,"?,sousi'ei?n","s? k?t h?p, s? liên k?t",,
214,assume,v,?'sju:m,"mang, khoác, có, l?y (cái v?, tính ch?t…)",,
215,assure,v,?'?u?,"??m b?o, c?m ?oán",,
216,atmosphere,n,ætm?sfi?,khí quy?n,,
217,atom,n,æt?m,nguyên  t?,,
218,attach,v,?'tæt?,"g?n, dán, trói, bu?c",,
219,attached,adj,,g?n bó,,
220,attack,"n, v",?'tæk,"s? t?n công, s? công kích; t?n công, công kích",,
221,attempt,"n, v",?'tempt,"s? c? g?ng, s? th?; c? g?ng, th?",,
222,attempted,adj,?'temptid,"c? g?ng, th?",,
223,attend,v,?'tend,"d?, có m?t",,
224,attention,n,?'ten?n,s? chú ý,,
225,attitude,n,ætitju:d,"thái ??, quan ?i?m",,
226,attorney,n,?'t?:ni,ng??i ???c ?y quy?n,,
227,attract,v,?'trækt,"hút; thu hút, h?p d?n",,
228,attraction,n,?'træk?n,"s? hút, s?c hút",,
229,attractive,adj,?'træktiv,"hút, thu hút, có duyên,  lôi cu?n",,
230,audience,n,?:dj?ns,"thính,  khan gi?",,
231,August (abbr Aug),n,?:g?st - ?:'g?st,tháng  Tám,,
232,aunt,n,?:nt,"cô, dì",,
233,author,n,?:??,tác gi?,,
234,authority,n,?:'??riti,"uy quy?n,  quy?n l?c",,
235,automatic,adj,",?:t?'mætik",t? ??ng,,
236,automatically,adv,,m?t cách t? ??ng,,
237,autumn,n,?:t?m,mùa thu (US: mùa thu là fall),,
238,available,adj,?'veil?bl,"có th? dùng ???c, có giá tr?, hi?u l?c",,
239,average,"adj, n",æv?rid?,"trung  bình,  s? trung  bình,  m?c trung  bình",,
240,avoid,v,?'v?id,"tránh, tránh xa",,
241,awake,adj,?'weik,"?ánh th?c, làm th?c d?y",,
242,award,"n, v",?'w?:d,"ph?n th??ng; t?ng, th??ng",,
243,aware,adj,?'we?,"bi?t, nh?n th?c, nh?n th?c th?y",,
244,away,adv,?'wei,"xa, xa cách, r?i xa, ?i xa",,
245,awful,adj,?:ful,"oai nghiêm, d? s?",,
246,awfully,adv,,"tàn kh?c, kh?ng  khi?p",,
247,awkward,adj,?:kw?d,"v?ng  v?, lung  túng",,
248,awkwardly,adv,,"v?ng  v?, lung  túng",,
